1946,-40
1947,360
1948,510
1949,930
1950,-180
1951,-340
1952,160
1953,-150
1954,-70
1955,970
1956,-130
1957,-40
1958,210
1959,350
1960,160
1961,480
1962,390
1963,570
1964,1130
1965,790
1966,80
1967,250
1968,460
1969,1170
1970,760
1971,630
1972,420
1973,520
1974,580
1975,850
1976,660
1977,470
1978,310
1979,140
1980,540
1981,120
1982,150
1983,-420
1984,640
1985,1400
1986,1200
1987,390
1988,600
1989,-810
1990,-450
1991,380
1992,170
1993,-40
1994,90
1995,-760
1996,-960
1997,-1340
1998,-980
1999,400
2000,1030
2001,880
2002,450
2003,-900
2004,-230
2005,20
2006,230
2007,480
2008,950
2009,-310
2010,-120
2011,-550
2012,1040
2013,-180
2014,-600
2015,-860
